x;y;layer1;layer2;voltage1;voltage2;current
1031.97;1881.41;LAYER_2;BOTTOM_LAYER;0.179186;0.179187;-0.00040914
1031.97;1920.78;TOP_LAYER;LAYER_1;0.179186;0.179186;-0.000353153
1031.97;1920.78;LAYER_1;LAYER_2;0.179186;0.179186;-0.000353153
1031.97;1920.78;LAYER_2;BOTTOM_LAYER;0.179186;0.179186;-0.000243443
1031.97;1960.15;TOP_LAYER;LAYER_1;0.179186;0.179186;-0.000147117
1031.97;1960.15;LAYER_1;LAYER_2;0.179186;0.179186;-0.000147117
1031.97;1960.15;LAYER_2;BOTTOM_LAYER;0.179186;0.179186;-5.32576e-05
1032.31;1377.14;TOP_LAYER;LAYER_1;0.179481;0.179456;0.0610076
1032.31;1377.14;LAYER_1;LAYER_2;0.179456;0.179315;0.0610076
1032.31;1377.14;LAYER_2;BOTTOM_LAYER;0.179315;0.179288;0.0653891
1032.31;1412.57;TOP_LAYER;LAYER_1;0.179657;0.179605;0.125761
1032.31;1412.57;LAYER_1;LAYER_2;0.179605;0.179315;0.125761
1032.31;1412.57;LAYER_2;BOTTOM_LAYER;0.179315;0.179288;0.0653891
1055.93;1394.85;TOP_LAYER;LAYER_1;0.179657;0.179605;0.125761
1055.93;1394.85;LAYER_1;LAYER_2;0.179605;0.179315;0.125761
1055.93;1394.85;LAYER_2;BOTTOM_LAYER;0.179315;0.179288;0.0653891
1060.69;1620.42;TOP_LAYER;LAYER_1;0.179206;0.179206;-2.78511e-13
1060.69;1620.42;LAYER_1;LAYER_2;0.179206;0.179206;-3.54147e-13
1060.69;1620.42;LAYER_2;BOTTOM_LAYER;0.179206;0.179204;0.00860475
1060.69;1998.37;TOP_LAYER;LAYER_1;0.179186;0.179186;-0.000137587
1060.69;1998.37;LAYER_1;LAYER_2;0.179186;0.179186;-0.000137587
1060.69;1998.37;LAYER_2;BOTTOM_LAYER;0.179186;0.179186;-3.5652e-05
1071.34;1842.04;TOP_LAYER;LAYER_1;0.179186;0.179186;-0.00185179
1071.34;1842.04;LAYER_1;LAYER_2;0.179186;0.179188;-0.00185179
1071.34;1842.04;LAYER_2;BOTTOM_LAYER;0.179188;0.179188;-0.000721593
1071.34;1881.41;TOP_LAYER;LAYER_1;0.179186;0.179186;-0.000852975
1071.34;1881.41;LAYER_1;LAYER_2;0.179186;0.179187;-0.000852975
1071.34;1881.41;LAYER_2;BOTTOM_LAYER;0.179187;0.179187;-0.000596719
1079.56;1377.14;TOP_LAYER;LAYER_1;0.179495;0.179463;0.0755979
1079.56;1377.14;LAYER_1;LAYER_2;0.179463;0.179289;0.0755979
1079.56;1377.14;LAYER_2;BOTTOM_LAYER;0.179289;0.179268;0.0500978
1079.56;1412.57;TOP_LAYER;LAYER_1;0.179495;0.179463;0.0755979
1079.56;1412.57;LAYER_1;LAYER_2;0.179463;0.179289;0.0755979
1079.56;1412.57;LAYER_2;BOTTOM_LAYER;0.179289;0.179268;0.0500978
1091.03;2105.82;TOP_LAYER;LAYER_1;0.179186;0.179186;-0.000180274
1091.03;2105.82;LAYER_1;LAYER_2;0.179186;0.179186;-0.000180274
1091.03;2105.82;LAYER_2;BOTTOM_LAYER;0.179186;0.179186;-1.59281e-05
1092.18;1998.37;TOP_LAYER;LAYER_1;0.179185;0.179185;-0.00022969
1092.18;1998.37;LAYER_1;LAYER_2;0.179185;0.179186;-0.00022969
1092.18;1998.37;LAYER_2;BOTTOM_LAYER;0.179186;0.179186;-0.000125318
1110.71;523.144;TOP_LAYER;LAYER_1;0.178794;0.178799;-0.0332292
1110.71;523.144;LAYER_1;LAYER_2;0.178799;0.178823;-0.0332292
1110.71;523.144;LAYER_2;BOTTOM_LAYER;0.178823;0.178826;-0.0223891
1110.71;582.2;TOP_LAYER;LAYER_1;0.178806;0.178811;-0.03708
1110.71;582.2;LAYER_1;LAYER_2;0.178811;0.178837;-0.03708
1110.71;582.2;LAYER_2;BOTTOM_LAYER;0.178837;0.178841;-0.0245817
1110.71;641.255;TOP_LAYER;LAYER_1;0.178809;0.178815;-0.0458913
1110.71;641.255;LAYER_1;LAYER_2;0.178815;0.178848;-0.0458913
